Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Дурдинець,Прохір,Соломонович,чоловік,1968-01-01,Євнух,місто Узин,"проспект Волниста, буд. 5 кв. 142, Комарно, 86167",050 341 14 47,oksana16@example.net
Влох,Валентина,Прохорівна,жінка,1953-02-11,Ботанік,хутір Алушта,"узвіз Цегляна, буд. 02 кв. 82, Богуслав, 92593",183 51 92,cvasylevych@example.org
Орлик,Тетяна,Охрімівна,жінка,2002-11-17,Правник,хутір Бар,"набережна Шолохова, буд. 0 кв. 29, Сорокине, 05410",987-61-63,venhrynovychnadiia@example.net
Корбут,Світлана,Гордіївна,жінка,1953-05-19,Фармацевт,селище Любомль,"шосе Західний 2-й, буд. 300, Тлумач, 62832",053 034-83-62,yskorobohatko@example.com
Саченко,Лариса,Олександрівна,жінка,1992-11-19,Філолог,місто Золотоноша,"парк Лютеранський, буд. 281 кв. 62, Радехів, 95722",+380 (80) 064-84-48,iustymbaidak@example.org
Годунок,Олег,Демидович,чоловік,1972-08-30,Архітектор,селище Карлівка,"набережна Привокзальна, буд. 098 кв. 2, Дружківка, 19179",045 674 11 16,ivankarmaliuk@example.com
Атрощенко,Ігнат,Теодорович,чоловік,1945-11-23,Астроном,селище Бориспіль,"сквер Мічуріна, буд. 037 кв. 290, Ніжин, 22409",571-96-34,pvobla@example.com
Василечко,Феофан,Йосипович,чоловік,2003-10-02,Хореограф,місто Чугуїв,"проспект Трудовий, буд. 17 кв. 3, Герца, 35791",645 64 80,avhustyn02@example.com
Салій,Георгій,Варфоломійович,чоловік,1957-03-21,Продюсер,хутір Сорокине,"провулок Черешнева, буд. 50, Шпола, 08468",+380 34 433-45-93,opanas12@example.com
Скиба,Марта,Богданівна,жінка,1972-07-09,Провізор,селище Гайсин,"сквер Шебелінський, буд. 8, Кобеляки, 01912",036 233-42-32,bohuslavartemenko@example.net
Стус,Федір,Юхимович,чоловік,1975-10-13,Фермер,село Горлівка,"парк Дунаєва, буд. 31, Знам'янка, 90690",097 213 11 94,klavdiiakabaliuk@example.org
Терещенко,Хома,Олександрович,чоловік,1939-08-12,Архітектор,хутір Вуглегірськ,"провулок Нерубайська, буд. 297, Новий Калинів, 66463",+380 41 698 82 92,korpaniukemiliia@example.com
Ярош,Аркадій,Вікторович,чоловік,1940-02-23,Ботанік,місто Хирів,"проспект 6-та Лінія Марії Демченко, буд. 02, Могилів-Подільський, 24779",+380 89 281-51-52,vashchenkonataliia@example.net
Жук,Олена,Ігорівна,жінка,2007-07-03,Менеджер,село Калинівка ,"сквер Приморський, буд. 152 кв. 81, Перечин, 81739",051 767 60 31,ruslan55@example.com
Батуринець,Миколай,Вʼячеславович,чоловік,1951-01-06,Мінералог,хутір Гуляйполе,"площа Іспанська, буд. 2, Трускавець, 07123",027 953 93 81,shakhraiandrii@example.org
Охріменко,Владислав,Олександрович,чоловік,1966-02-01,Ветеринар,місто Черкаси,"сквер Прохоровська, буд. 857 кв. 6, Дружба , 19109",485-78-34,violetta76@example.net
Щербань,Леонід,Прохорович,чоловік,1997-07-28,Фермер,село Ватутіне,"шосе Асєєва Юрія, буд. 575, Подільськ, 84916",259 26 65,ihordemianiuk@example.com
Москаль,Семен,Сергійович,чоловік,1981-05-12,Бібліотекар,селище Долинська,"площа Курська, буд. 9, Алушта, 66135",591 27 88,ivanhunko@example.org
Ващенко-Захарченко,Маруся,Болеславівна,жінка,1958-08-21,Прокурор,хутір Вовчанськ,"сквер Митна, буд. 2, Червоносів, 10741",+380 47 296 48 68,abezditko@example.org
Бебешко,Роксолана,Устимівна,жінка,1987-08-11,Письменник,хутір Угнів,"вулиця Тепличний 1-й, буд. 0 кв. 8, Кам'янець-Подільський, 55112",+380 56 582-02-60,mdzhus@example.com
Сагаль,Георгій,Святославович,чоловік,1991-09-30,Астронавт,село Борзна,"проспект Бехтерєва, буд. 332 кв. 850, Шостка, 98656",020 16 14,venhrynovychleopold@example.com
Шевченко,Маруся,Леонтіївна,жінка,1961-01-26,Машиніст,місто Золоте,"площа Івана Микитенка, буд. 29, Коростишів, 31604",+380 76 550 17 39,liliia72@example.com
Мазепа,Герман,Дмитрович,чоловік,1968-07-30,Водій,село Тернопіль,"вулиця Хаджибейська дорога, буд. 6, Мостиська, 37053",013 572-98-99,spasarkhymovych@example.org
Саєнко,Ольга,Тимофіївна,жінка,1982-08-24,Менеджер,місто Острог,"сквер Шовкуненка, буд. 9, Кілія, 71740",+380 93 958-05-50,virazakharchenko@example.com
Жаліло,Павло,Єфремович,чоловік,1980-03-03,Фольклорист,місто Корець,"шосе Суднобудівний, буд. 8 кв. 21, Харцизьк, 73511",066 001-44-13,sofiiavlasenko@example.net
Ірванець,Амалія,Семенівна,жінка,1991-12-03,Агроном,селище Олександрія,"площа Новоселів, буд. 1 кв. 407, Карлівка, 68382",577 02 48,taras84@example.com
Їжак,Оксана,Францівна,жінка,1972-06-06,Ювелір,місто Старий Крим,"провулок Колективний, буд. 81 кв. 10, Ніжин, 74443",024 418 85 36,andriiiemets@example.org
Єсипенко,Олекса,Адамович,чоловік,2006-09-13,Краєзнавець,селище Судак ,"вулиця Вокзальна, буд. 47, Устилуг, 60806",+380 51 676-57-95,alinadotsenko@example.com
Щербань,Аркадій,Вʼячеславович,чоловік,1980-08-21,Географ,село Горішні Плавні,"сквер Тінистий, буд. 577 кв. 3, Миронівка, 45278",721 11 10,iashchukliza@example.org
Баран,Богданна,Костянтинівна,жінка,1942-04-08,Мінералог,село Докучаєвськ,"парк Маячний, буд. 16 кв. 521, Приморськ (Україна), 46568",+380 25 583-22-45,ytsybulenko@example.com
Павличенко,Златослава,Єфремівна,жінка,1998-09-01,Графік,хутір Герца,"набережна Французький, буд. 05, Ялта, 69353",+380 36 183 58 76,xhavriushenko@example.net
Затула,Леонід,Вікторович,чоловік,1977-02-25,Електромонтажник,місто Чугуїв,"вулиця Довженка, буд. 96, Чернівці, 46229",152-84-68,jzaporozhets@example.org
Панчук,Станіслав,Демʼянович,чоловік,1955-05-15,Складальник,село Первомайський ,"узвіз Нерубайська, буд. 748 кв. 7, Попасна, 55027",+380 45 356-99-04,dperebyinis@example.net
Масоха,Лукʼян,Олесьович,чоловік,1949-06-14,Публіцист,хутір Генічеськ,"вулиця Сьома, буд. 5, Родинське, 37687",+380 10 530-93-12,marta74@example.com
Валенко,Остап,Богданович,чоловік,2001-12-04,Кушнір,місто Ірпінь,"сквер Дем’янова, буд. 499 кв. 51, Рені, 16176",075 76 30,psmyk@example.org
Дейнеко,Феофан,Данилович,чоловік,1980-05-07,Конструктор,хутір Феодосія,"провулок Флотський 3-й, буд. 2, Мелітополь, 94845",587 08 05,dmytrosuprunenko@example.com
Івасюк,Дан,Олегович,чоловік,1966-10-28,Астроном,місто Свалява,"парк Травневий 2-й, буд. 82, Українськ, 04889",+380 16 160-56-45,shabliiviacheslav@example.org
Супруненко,Олесь,Антонович,чоловік,1962-03-31,Продюсер,село Старий Самбір,"провулок Лінія 38-ма, буд. 95, Умань, 33975",+380 90 458-54-66,larysareva@example.com
Оберемко,Вʼячеслав,Лукʼянович,чоловік,2004-12-17,Мікробіолог,селище Лисичанськ,"набережна Східчастий 4-й, буд. 45 кв. 508, Татарбунари, 93187",+380 18 027-81-72,sofiia18@example.com
Акуленко,Азар,Русланович,чоловік,2001-11-22,Архітектор,село Новояворівськ,"шосе Амбулаторна, буд. 7, Стрий, 44304",+380 (34) 789-35-79,davymukanadiia@example.com
Козак,Пріска,Олександрівна,жінка,1956-06-21,Графік,місто Новий Калинів,"вулиця Шептицікого, буд. 26, Волочиськ, 18627",+380 (62) 778-14-40,saienkoviktor@example.com
Макаренко,Валерій,Семенович,чоловік,1987-09-11,Каскадер,село Борзна,"парк Тепличний 1-й, буд. 9, Чортків, 23891",902 96 34,svitlanaokhrymovych@example.com
Чуйко,Хома,Валентинович,чоловік,1956-02-20,Складальник,місто Костопіль,"набережна Дельфін, буд. 63 кв. 9, Южне, 11111",+380 (61) 077-09-60,serhiikharchenko@example.net
Гаврюшенко,Давид,Олександрович,чоловік,1969-07-02,Драматург,село Радехів,"набережна Вчительська, буд. 836 кв. 62, Вознесенівка, 54218",+380 (69) 908-07-54,blukash@example.org
Бандера,Дан,Захарович,чоловік,1979-05-27,Єгер,селище Кременець,"сквер Промислова, буд. 95, Яготин, 25931",052-02-95,kyrylenkofedir@example.net
Лавренко,Опанас,Геннадійович,чоловік,2007-04-18,Кіноактор,селище Херсон,"шосе Студентський 2-й, буд. 742 кв. 0, Кадіївка, 72779",039 766 79 51,solomiiavasylevych@example.com
Журба,Оксенія,Тарасівна,жінка,1979-11-04,Музикознавець,село Дніпрорудне,"набережна Марії Демченко 2-й, буд. 90, Немирів, 74992",300 04 71,czinchenko@example.org
Ільченко,Леопольд,Орхипович,чоловік,1941-05-23,Шериф,селище Почаїв,"узвіз Восьмого березня, буд. 482 кв. 18, Білопілля, 70655",733 99 11,klymentskyba@example.org
Лисенко,Марія,Аврелійовна,жінка,1978-12-01,Хімік,хутір Бахмач,"вулиця Лінія 38-ма, буд. 719, Баранівка, 88615",+380 25 387-00-10,anitahavrysh@example.com
Єрьоменко,Анастасія,Святославівна,жінка,1994-04-15,Краєзнавець,хутір Хуст,"сквер 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 5, Радомишль, 43116",996-88-59,ppalii@example.com
Полтавець,Сніжана,Гордіївна,жінка,1949-03-01,Науковець,хутір Борщів,"площа Соляна, буд. 2, Привілля, 39475",093 886-07-95,rtsiutsiura@example.net
Пʼятаченко,Дан,Венедиктович,чоловік,1979-01-15,Геолог,село Великі Мости,"площа Промисловий, буд. 121, Любомль, 45174",025 493-50-85,artymovychsemen@example.org
Скоробогатько,Ада,Андріївна,жінка,1974-02-22,Флорист,селище Глобине,"парк Восьмого березня узвіз, буд. 74, Генічеськ, 40752",505-83-28,leon34@example.net
Заєць,Микита,Артемович,чоловік,1989-03-07,Візажист,селище Кілія,"узвіз Прирейкова, буд. 5 кв. 9, Токмак, 25067",036 887 74 44,stanislavkylymnyk@example.net
Проценко,Богодар,Аврелійович,чоловік,2000-10-29,Соціолог,селище Старий Самбір,"шосе Савранська, буд. 99 кв. 18, Новомосковськ, 02333",036 814 90 80,vashchukspas@example.org
Твердохліб,Альберт,Єлисейович,чоловік,1942-05-05,Гірничий інженер,село Герца,"сквер 10-та Лінія Марії Демченко, буд. 93, Кремінна, 87631",006 671 86 96,anastasiiaprokopovych@example.net
Журба,Богуслава,Леонідівна,жінка,1952-08-02,Стоматолог,хутір Нова Одеса,"набережна Металістів, буд. 189 кв. 674, Привілля, 39669",754-36-21,svitlana66@example.org
Єременко,Трохим,Мартинович,чоловік,1987-01-25,Антрополог,селище Новодружеськ,"площа Хутірський, буд. 81 кв. 9, Святогірськ, 47576",328-56-24,martasachenko@example.org
Дзюба,Аврелій,Симонович,чоловік,1982-01-13,Парфюмер,місто Липовець,"парк Кришталева, буд. 08, Лутугине, 73533",+380 99 543-36-64,ivasiukmarta@example.com
Токар,Онисим,Артемович,чоловік,2004-08-22,Психолог,хутір Болград,"площа Ашгабатська, буд. 9, Торецьк, 29631",+380 39 153 94 02,nazarzasukha@example.org
Пилипенко,Сергій,Леонтійович,чоловік,2006-09-27,Інженер,село Старий Крим,"узвіз Нікітіна, буд. 6, Вижниця, 42857",+380 (89) 985-02-66,asauladanylo@example.org
Пелех,Феофан,Аркадійович,чоловік,1983-12-19,Конструктор,село Рава-Руська,"вулиця Південно-Санаторний, буд. 00 кв. 0, Новий Розділ, 83267",+380 (21) 029-86-67,iskopenko@example.net
Шморгун,Мирон,Богданович,чоловік,1993-09-09,Гірничий інженер,село Світловодськ,"площа Селекційна, буд. 2 кв. 476, Сокиряни, 19120",+380 (38) 929-12-82,trokhym82@example.org
Батюк,Стефан,Григорійович,чоловік,1954-10-16,Штукатур,селище Коростишів,"вулиця Західний 1-й, буд. 38, Буча, 71654",+380 73 330 49 93,haidenkoerika@example.net
Хорішко,Олекса,Юхимович,чоловік,1997-07-13,Медик,селище Боково-Хрустальне,"узвіз Флотський 2-й, буд. 693 кв. 18, Оріхів, 35300",420 89 64,ielysei29@example.com
Деркач,Юстим,Юстимович,чоловік,1949-03-15,Електромонтажник,село Снігурівка,"узвіз Петра Лещенка, буд. 7, Білгород-Дністровський, 04226",035 515 95 62,nievtushenko@example.net
Деркач,Емілія,Ростиславівна,жінка,1952-01-21,Мінералог,село Нововолинськ,"узвіз Дальницька, буд. 1, Балта, 91643",+380 23 451-73-36,arsenhabelko@example.net
Артимишин,Дмитро,Русланович,чоловік,1969-06-18,Хімік,місто Вінниця,"набережна Висока, буд. 2 кв. 100, Здолбунів, 33700",710 72 31,sirkohordii@example.net
Павленко,Варвара,Йосипівна,жінка,1957-12-15,Конструктор,місто Бурштин ,"узвіз Жолкова Бориса, буд. 7 кв. 7, Батурин, 73015",+380 (93) 576-93-02,iurchukpylyp@example.net
Артимишин,Орест,Леонтійович,чоловік,1948-06-01,Адвокат,селище Глухів,"вулиця Складська, буд. 8, Буринь, 45287",045 844-12-35,kzakharchenko@example.com
Шеремета,Альбіна,Лукʼянівна,жінка,1985-05-14,Візажист,село Городня,"проспект Анни Ахматової, буд. 04, Українськ, 77664",+380 82 933-60-80,snizhana39@example.com
Абрамчук,Марко,Антонович,чоловік,1947-09-16,Нотаріус,селище Березань ,"узвіз Дорожня, буд. 252, Гадяч, 24938",+380 80 968-21-36,rlevchenko@example.net
Москаль,Вʼячеслав,Теодорович,чоловік,1988-10-31,Акушер,місто Корсунь-Шевченківський,"провулок Архітектурна, буд. 469 кв. 138, Красноград, 94107",046 878-80-72,anastasiiazaruba@example.org
Дрозденко,Ірена,Владиславівна,жінка,1973-03-12,Електрик,місто Кипуче,"проспект Любашівський, буд. 4, Ківерці, 12206",086 665-69-27,fdashenko@example.net
Джунь,Клавдія,Панасівна,жінка,1955-11-24,Няня,хутір Нова Каховка,"набережна Зелений, буд. 35 кв. 158, Андрушівка, 91997",854 81 80,marusia96@example.com
Міщенко,Гліб,Павлович,чоловік,1966-12-28,Візажист,хутір Шостка,"сквер Польова, буд. 532, Городня, 63218",+380 10 885 21 09,oabramenko@example.net
Носенко,Стефан,Олександрович,чоловік,1958-07-15,Професор,село Кременчук,"узвіз Сумський, буд. 08, Кременчук, 27263",035 402 97 68,gvashchenko-zakharchenko@example.org
Черненко,Ада,Іванівна,жінка,1980-05-31,Правник,село Костопіль,"провулок Змієнка Всеволода, буд. 499, Баранівка, 39180",+380 10 989-04-38,iermolenkokostiantyn@example.net
Романенко,Устим,Микитович,чоловік,1990-12-01,Машиніст,село Надвірна,"узвіз Гагаріна, буд. 737 кв. 189, Путивль, 22597",+380 42 747-01-11,chaikavasyl@example.net
Сагаль,Юстина,Адамівна,жінка,2000-03-10,Професор,місто Хоростків,"сквер Складська, буд. 88, Кам'янець-Подільський, 65983",021-06-51,onysymiaremkiv@example.org
Рубець,Григорій,Олегович,чоловік,1956-11-23,Маркетолог,селище Глухів,"провулок Полуничний, буд. 85 кв. 21, Радехів, 81259",+380 13 740-75-10,rostyslavkharchenko@example.org
Юрчук,Василь,Глібович,чоловік,1967-12-04,Астронавт,місто Дунаївці,"шосе Іцхака Рабіна, буд. 3, Сокаль, 62517",+380 61 744 88 09,nataliiaverkhola@example.com
Ященко,Августин,Леонтійович,чоловік,1990-10-17,Петрограф,село Острог,"площа Балтський 7-й, буд. 6 кв. 3, Лохвиця, 34542",+380 81 673-63-50,fvlokh@example.com
Перебийніс,Остап,Романович,чоловік,1967-12-13,Краєзнавець,село Тульчин,"площа Магнітогорський 2-й, буд. 4, Радомишль, 64670",+380 76 495-71-99,khrystyna01@example.net
Мірошниченко,Святослава,Стефанівна,жінка,1992-07-08,Електрик,місто Кременчук,"узвіз Госпітальний, буд. 413 кв. 9, Сокаль, 08666",+380 13 520 10 51,kyrylo37@example.org
Лагода,Орися,Романівна,жінка,1980-06-01,Промисловець,село Нова Каховка,"узвіз Яблочкіної, буд. 4, Чистякове, 96230",+380 80 353 92 89,bandurkaopanas@example.net
Ткач,Ярослава,Омелянівна,жінка,1954-06-28,Гицель,село Золочів,"парк Марії Демченко, буд. 7, Дніпрорудне, 95669",+380 89 288-87-05,labaklyment@example.org
Бабенко,Єлисей,Пантелеймонович,чоловік,1989-02-15,Стропальник,село Жовті Води,"набережна Лиманчик 2-й Лінія 1-ша, буд. 37 кв. 6, Ялта, 96838",+380 09 537-35-72,bteslia@example.net
Гречаник,Федір,Леонідович,чоловік,2004-05-12,Гірник,місто Жданівка,"провулок Флотський 3-й, буд. 902, Сокиряни, 20231",095 219-88-25,cbabiichuk@example.org
Гунько,Любов,Русланівна,жінка,1946-07-04,Випробувач,хутір Яворів,"парк Мала Арнаутська, буд. 267, Баранівка, 26910",+380 (89) 918-74-89,priska18@example.net
Щербак,Олекса,Теодорович,чоловік,1942-11-16,Публіцист,хутір Соледар,"проспект 2-га Суворовська, буд. 24 кв. 793, Кременчук, 55745",+380 (47) 424-90-62,mykolai41@example.net
Вишняк,Святослав,Олесьович,чоловік,1958-08-30,Фармацевт,хутір Любомль,"провулок Четверта, буд. 7, Хрестівка, 49296",+380 62 042-30-32,emiliia98@example.org
Дуплій,Августин,Володимирович,чоловік,1977-12-07,Реабілітолог,селище Рожище,"шосе Українська, буд. 552, Біляївка, 79441",+380 79 346-79-29,aivashchenko@example.com
Філіпенко,Ірина,Глібівна,жінка,1959-09-10,Мінералог,село Сміла,"шосе Окружна, буд. 92 кв. 5, Вознесенівка, 40682",237 04 24,piemets@example.net
Сомко,Онисим,Геннадійович,чоловік,1980-11-22,Секретар,село Жданівка,"парк Болградська, буд. 03 кв. 1, Бурштин , 15013",+380 35 937-19-11,gvertyporokh@example.net
Алексеєнко,Панас,Ростиславович,чоловік,1990-07-27,Детектив,хутір Обухів,"набережна Стражеска Миколи, буд. 69 кв. 26, Зборів, 90106",900-83-86,vertyporokhheorhii@example.org
Рудик,Давид,Ігнатович,чоловік,1964-05-24,Футболіст,хутір Коростень,"провулок Каштанова, буд. 4 кв. 3, Токмак, 36030",335 19 53,zasukhasvitlana@example.com
Корж,Борис,Олексович,чоловік,1980-06-20,Ді-джей,хутір Белз,"шосе Ковиловий, буд. 3 кв. 74, Кагарлик, 27521",+380 93 876-64-12,nestorhrechanyk@example.net
Онищенко,Людмила,Вікторівна,жінка,2006-09-04,Математик,місто Покровськ,"набережна Капітана Кузнецова, буд. 1, Кілія, 64796",+380 13 328 71 34,vadymparasiuk@example.org
Хоменко,Володимир,Августинович,чоловік,1964-06-09,Ботанік,село Рубіжне,"вулиця Нова, буд. 7 кв. 17, Белз, 34518",255 57 23,adamchukiaryna@example.net
Нестеренко,Соломон,Єфремович,чоловік,1946-12-23,Електрик,місто Ізяслав,"провулок Шостої 1-й, буд. 994, Гнівань, 24465",096 825 57 72,xchubai@example.com
Закусило,Йосип,Сергійович,чоловік,1966-03-12,Психолог,хутір Біла Церква,"шосе Шахтинський, буд. 277, Зміїв, 81528",+380 (34) 125-22-37,hennadiihavrysh@example.com
Захаренко,Андрій,Мирославович,чоловік,1954-09-27,Науковець,селище Заліщики,"проспект Марії Демченко, буд. 39, Тернівка , 55744",015 268-22-53,xbashtan@example.org
Гузенко,Олег,Миронович,чоловік,1991-07-14,Кінорежисер,селище Ковель,"проспект Деревообробний 2-й, буд. 6 кв. 190, Красилів, 54990",+380 (55) 483-44-38,avhustyniarosh@example.com
Дрозд,Олена,Васильівна,жінка,1968-07-14,Пекар,хутір Богуслав,"узвіз Конструкторський, буд. 6, Хуст, 66653",+380 64 548-08-21,ostapbaranyk@example.net
Копитко,Азар,Соломонович,чоловік,2002-01-27,Гінеколог,село Алупка,"площа Бузковий 1-й, буд. 02, Володимир-Волинський, 75607",193-39-15,mazepakostiantyn@example.net
Носаченко,Аарон,Олесьович,чоловік,1972-03-16,Продюсер,місто Яготин,"проспект Горіхова, буд. 4, Зеленодольськ, 54400",011 560-24-28,danchuklevko@example.com
Килимник,Єфрем,Вадимович,чоловік,1980-12-28,Драматург,хутір Луганськ,"набережна Наливна, буд. 073, Ніжин, 80081",+380 53 564-20-92,leonkorolenko@example.net
Гресь,Христина,Назарівна,жінка,2008-06-11,Ґрунтознавець,місто Зборів,"шосе Самарська, буд. 68 кв. 16, Буринь, 76327",061 761-84-63,orobetsleon@example.com
Лубенець,Єфрем,Григорійович,чоловік,1938-10-03,Няня,місто Лебедин,"сквер Платанова, буд. 1, Остер , 69784",+380 90 789-00-49,demianenkoiefrem@example.net
Щириця,Максим,Тарасович,чоловік,1983-03-28,Електрослюсар,село Карлівка,"провулок Західний 4-й, буд. 1, Обухів, 60967",096 809 58 05,nshvaika@example.net
Ящук,Зорян,Єфремович,чоловік,1943-04-14,Медик,місто Моспине,"вулиця Яружний, буд. 5, Ірпінь, 15555",034 134-14-02,amvrosiizatovkaniuk@example.org
Дейнека,Олекса,Олексович,чоловік,1941-05-04,Кухар,село Лисичанськ,"набережна Івана Вазова, буд. 70, Кам'янець-Подільський, 61562",+380 50 689-31-12,vyshniakpetro@example.net
Бабій,Демид,Олександрович,чоловік,1992-10-27,Піаніст,хутір Вилкове,"проспект Дюківська, буд. 06 кв. 6, Дергачі, 79873",695 54 95,valentyna28@example.com
Бандера,Валентина,Петрівна,жінка,1981-05-05,Антрополог,селище Перещепине,"шосе 4-та Суворовська, буд. 6 кв. 715, Джанкой, 28415",011 714 42 07,akhmara@example.org
Єременко,Остап,Георгійович,чоловік,1951-10-09,Зоолог,хутір Первомайськ,"узвіз Маріїнська, буд. 7, Перещепине, 35094",+380 19 291-73-21,lavrenkoiarema@example.net
Балабан,Левко,Ігнатович,чоловік,1972-07-17,Співак,місто Кролевець,"шосе Мукачівський, буд. 1, Ужгород, 37285",561-76-74,bohdanna22@example.org
Чубай,Мартин,Варфоломійович,чоловік,1954-01-29,Мінералог,селище Кодима,"проспект Історія Футболу, буд. 6 кв. 03, Білогірськ, 02012",+380 (56) 406-63-52,orkhypbevzenko@example.com
Гавриленко,Ігор,Петрович,чоловік,1978-10-20,Інженер,село Судак ,"площа Карпатська, буд. 41 кв. 3, Жашків, 72041",+380 62 998-38-90,kyrylo21@example.net
Шаблій,Руслан,Яковович,чоловік,2004-05-22,Візажист,село Сміла,"проспект Сергія Ейзенштейна, буд. 52, Сарни, 58770",028 496 66 47,wskorobohatko@example.net
Конопленко,Вʼячеслав,Ростиславович,чоловік,1971-12-14,Парфюмер,селище Підгайці,"шосе Сурикова 1-й, буд. 78 кв. 41, Хотин, 17130",596 71 81,ktelizhenko@example.net
Ткач,Володимир,Олесьович,чоловік,2008-01-10,Музикант,село Зугрес,"проспект Азербайджан, буд. 76 кв. 319, Українка , 40418",+380 59 375 25 84,iarema82@example.net
Хомик,Руслан,Миколайович,чоловік,1985-03-11,Електротехнік,місто Моршин,"узвіз Мирна, буд. 3 кв. 522, Люботин, 29307",208 98 45,darahanfedir@example.net
Нестеренко,Едуард,Устимович,чоловік,1986-06-25,Кіноактор,селище Лутугине,"шосе Лінія 31-ша, буд. 92, П'ятихатки, 23635",478-65-76,boleslavsymonenko@example.org
Дзиндра,Амалія,Микитівна,жінка,1966-09-03,Нотаріус,селище Теребовля,"узвіз Авіаторів, буд. 94, Саки , 80518",797 05 01,karpaiustym@example.org
Рудько,Олена,Юстимівна,жінка,1969-03-02,Педагог,село Христинівка,"шосе Академіка Вільямса, буд. 72 кв. 382, Сокиряни, 05060",+380 26 258 06 53,darahanlevko@example.com
Бабʼюк,Віталій,Давидович,чоловік,1964-02-27,Економіст,селище Буча,"узвіз Гладкова, буд. 6 кв. 182, Докучаєвськ, 99967",019 507 27 93,varvara42@example.net
Масляк,Альбіна,Леонідівна,жінка,1942-08-10,Кухар,місто Гірник ,"площа Спиридонівська, буд. 92 кв. 39, Березне, 48913",+380 (72) 002-54-63,korzhpetro@example.net
Швачка,Яків,Бориславович,чоловік,1977-10-02,Графік,місто Вишгород,"площа Таїрова, буд. 04 кв. 21, Сокиряни, 45529",+380 14 228-60-72,eudovenko@example.org
Бандурка,Орина,Веніяминівна,жінка,1989-11-28,Мистецтвознавець,селище Підгородне,"сквер Перепечка, буд. 07, Буськ, 05889",025 926-67-55,svitlanadanchenko@example.com
Скопенко,Мілена,Арсенівна,жінка,1971-04-08,Геолог,хутір Сокиряни,"вулиця Сімферопольська, буд. 107 кв. 90, Хорол , 93704",042 773 40 02,terezacherinko@example.org
Батуринець,Софія,Глібівна,жінка,1970-09-17,Хореограф,місто Узин,"проспект Висока, буд. 71, Хрестівка, 93153",069 556 52 05,leonidsimashkevych@example.org
Петрик,Камілла,Олегівна,жінка,1983-04-21,Бухгалтер,селище Славута,"сквер Асташкіна, буд. 9, Деражня, 45474",+380 13 773-67-32,iustym79@example.org
Ткач,Михайлина,Симонівна,жінка,1947-10-24,Державний службовець,місто Амвросіївка,"набережна Троїцька, буд. 50 кв. 5, Яготин, 01622",+380 83 857-79-33,oleksadurdynets@example.com
Бабко,Тарас,Панасович,чоловік,1994-08-18,Мікробіолог,місто Сокаль,"набережна Паркова, буд. 132, Богуслав, 84203",067 654 15 76,sheremetaaron@example.org
Теличенко,Вікторія,Зорянівна,жінка,1996-09-01,Інженер,селище Калинівка ,"провулок Радісний, буд. 1 кв. 06, Тульчин, 07989",447 06 63,glazarenko@example.com
Гузенко,Давид,Стефанович,чоловік,1946-07-01,Модель,місто Біляївка,"вулиця Військовий узвіз, буд. 479 кв. 633, Жданівка, 03738",031 360 30 99,jdanylchuk@example.com
Слюсар,Альберт,Болеславович,чоловік,1964-08-29,Дизайнер,місто Гірник ,"набережна 19-та Лінія, буд. 997 кв. 16, Залізне, 10045",799 73 26,otiahnybok@example.net
Адамчук,Амвросій,Іванович,чоловік,1950-11-02,Антрополог,місто Бобровиця,"площа Жоліо-Кюрі, буд. 289 кв. 6, Коростишів, 64448",073 05 57,hennadii29@example.net
Данчук,Захар,Зиновійович,чоловік,1966-04-16,Каскадер,село Джанкой,"шосе Вапняний 1-й, буд. 097 кв. 5, Боярка, 28803",263-25-85,dmytro87@example.org
Карпа,Мирослав,Демʼянович,чоловік,1954-08-14,Менеджер,місто Виноградів,"узвіз Катерининська, буд. 78, Хорол , 36615",908 19 12,dannatkachenko@example.com
Дурдинець,Гліб,Вʼячеславович,чоловік,1996-03-19,Кінолог,село Миколаїв,"проспект Гагаріна, буд. 7, Іловайськ, 19156",+380 92 135-18-10,maryna04@example.net
Черінько,Ярема,Назарович,чоловік,1958-07-19,Астрофізик,хутір Кодима,"сквер Моторна, буд. 0, Марганець , 24355",089 019 67 99,bohuslav48@example.com
Щорс,Пармен,Геннадійович,чоловік,1963-06-23,Державний службовець,селище Краматорськ,"проспект 6-та Суворовська, буд. 56, Калинівка , 25983",+380 35 911-28-21,korbutvarfolomii@example.org
Башполченко,Ілля,Зиновійович,чоловік,1979-08-18,Гірник,село Васильків,"набережна Східчастий 3-й, буд. 91 кв. 517, Зоринськ, 98426",+380 (66) 980-01-65,kamillavlasenko@example.org
Зайченко,Костянтин,Романович,чоловік,1953-06-10,Дерун,село Нововолинськ,"сквер Дальницька, буд. 4, Вилкове, 87686",+380 08 588-89-22,mykolaihuz@example.org
Данько,Ірена,Орестівна,жінка,1952-01-20,Співак,селище Кропивницький,"шосе Скрипковий, буд. 740 кв. 58, Вараш, 20181",+380 55 852-84-89,mamchurtaras@example.org
Верес,Зорян,Демʼянович,чоловік,1966-08-02,Футболіст,селище Снігурівка,"узвіз Новий, буд. 35, Євпаторія, 39392",013 103 45 50,leopoldchaika@example.com
